"item_sugerido","veces","variantes"
"DIRECCIONAL DRECHA DELANTERA","1","DIRECCIONAL DRECHA DELANTERA (1)"
"REVISAR SISTEMA ELECTRICO","1","REVISAR SISTEMA ELECTRICO (1)"
"ARREGLO DE EXPLORADORAS","1","ARREGLO DE EXPLORADORAS (1)"
"EXTACCION TORNILLO PARRILLA","1","EXTACCION TORNILLO PARRILLA (1)"
"CAMBIAR BUJIA","1","CAMBIAR BUJIA (1)"
"ARREGLO PARTES PLASTICAS","1","ARREGLO PARTES PLASTICAS (1)"
"CAMBIO RODAMIENTOS TRASEROS","1","CAMBIO RODAMIENTOS TRASEROS (1)"
"AJUSTE POSAPIES","1","AJUSTE POSAPIES (1)"
"ARREGLO DE CAJA FILTRO","1","ARREGLO DE CAJA FILTRO (1)"
"GUAYA DE FRENO","1","GUAYA DE FRENO (1)"
"INSTALACION ACCESORIOS","1","INSTALACION ACCESORIOS (1)"
"INSTALACION DE STAY","1","INSTALACION DE STAY (1)"
"ACEITE HIDRALICO","1","ACEITE HIDRALICO (1)"
"MANTENIMIENTO FRENO DELANTERO","1","MANTENIMIENTO FRENO DELANTERO (1)"
"MANOD E OBRA RODAMIENTOS","1","MANOD E OBRA RODAMIENTOS (1)"
"REVISION DE ACELERADOR","1","REVISION DE ACELERADOR (1)"
"PERA FRENO DELANTERO","1","PERA FRENO DELANTERO (1)"
"ARREGLO CALEFACTOR","1","ARREGLO CALEFACTOR (1)"
"CAMBIO DE FUSIBLE","1","CAMBIO DE FUSIBLE (1)"
"CILINDRO","1","CILINDRO (1)"
"ARREGLO ESTABILIZADOR","1","ARREGLO ESTABILIZADOR (1)"
"LUBRICACION DE PARTES","1","LUBRICACION DE PARTES (1)"
"SOLDADURA DE SOPORTE","1","SOLDADURA DE SOPORTE (1)"
"TENSION FRENO TRASERO","1","TENSION FRENO TRASERO (1)"
"TNSION DE CADENA","1","TNSION DE CADENA (1)"
"ACEITE DE BARRA","1","ACEITE DE BARRA (1)"
"REVISAR CONSUMO DE ACEITE","1","REVISAR CONSUMO DE ACEITE (1)"
"REVISAR MEDIDOR DE GASOLINA","1","REVISAR MEDIDOR DE GASOLINA (1)"
"REVISAR STOP","1","REVISAR STOP (1)"
"CAMBIO DE MULETA","1","CAMBIO DE MULETA (1)"
"GUIAS","1","GUIAS (1)"
"ARREGLO DE CORTP","1","ARREGLO DE CORTP (1)"
"CAMBIO DE GUARDABARRO","1","CAMBIO DE GUARDABARRO (1)"
"EXTRACCION DE TORNILLO DE BARRA","1","EXTRACCION DE TORNILLO DE BARRA (1)"
"CAMBIO DE LLANTA Y LLANTA","1","CAMBIO DE LLANTA Y LLANTA (1)"
"ACAUCHO DE MORDAZA","1","ACAUCHO DE MORDAZA (1)"
"SOPORTE MALETERO","1","SOPORTE MALETERO (1)"
"CAUCHO DE TIJERA","1","CAUCHO DE TIJERA (1)"
"TORNILLO VISOR","1","TORNILLO VISOR (1)"
"SOPORTE MULETA","1","SOPORTE MULETA (1)"
"INSTALACION DE CALEFACTORE","1","INSTALACION DE CALEFACTORE (1)"
"TERCER STOP","1","TERCER STOP (1)"
"REVISION DE FUGA","1","REVISION DE FUGA (1)"
"ACOMODAR GUAYA VELOCIMETRO","1","ACOMODAR GUAYA VELOCIMETRO (1)"
"CAMBIO RETEN SELLO DE AGUA","1","CAMBIO RETEN SELLO DE AGUA (1)"
"DISCOTRASERO","1","DISCOTRASERO (1)"
"CABLES DE SWITCH","1","CABLES DE SWITCH (1)"
"PINTURA PROTECTOR DE FAROLA","1","PINTURA PROTECTOR DE FAROLA (1)"
"PASTILLA","1","PASTILLA (1)"
"DAVID NOS DEBE","1","DAVID NOS DEBE (1)"
"DOS MONEDAS","1","DOS MONEDAS (1)"
"KIT BOMBA DE AGUA","1","KIT BOMBA DE AGUA (1)"
"MANO DE OBRA PILA","1","MANO DE OBRA PILA (1)"
"LIMPIEZA DE EXPLORADORA","1","LIMPIEZA DE EXPLORADORA (1)"
"MENIGUETA","1","MENIGUETA (1)"
"SISTEMA DE CLUTCH","1","SISTEMA DE CLUTCH (1)"
"CAMBIO PANEL DE RADIADOR","1","CAMBIO PANEL DE RADIADOR (1)"
"ABS GARANTIA","1","ABS GARANTIA (1)"
"REVISAR VENTILADOR","1","REVISAR VENTILADOR (1)"
"ARREGLO ALA","1","ARREGLO ALA (1)"
"REVISON DE MANDOS","1","REVISON DE MANDOS (1)"
"TORNILLOS DE MANILARES","1","TORNILLOS DE MANILARES (1)"
"CALCOMANIA TANQUE","1","CALCOMANIA TANQUE (1)"
"ARREGLO CHASIS","1","ARREGLO CHASIS (1)"
"VBOMBILLO","1","VBOMBILLO (1)"
"DEFLECTOR","1","DEFLECTOR (1)"
"COLA","1","COLA (1)"
"EMPAQUEADURA","1","EMPAQUEADURA (1)"
"MANO DE OBRA DEPURACION ABS","1","MANO DE OBRA DEPURACION ABS (1)"
"MANTENIMIENTO FILTROD E AIRE","1","MANTENIMIENTO FILTROD E AIRE (1)"
"MADEAS DE BARRAS","1","MADEAS DE BARRAS (1)"
"ARMADE Y CENTRADA DE RINES","1","ARMADE Y CENTRADA DE RINES (1)"
"BUJES CANASTILLAS DE TRAPECIO Y TIJERA","1","BUJES, CANASTILLAS DE TRAPECIO Y TIJERA (1)"
"BUJIAS Y CLUTCH","1","BUJIAS Y CLUTCH (1)"
"LUBRICACION Y TENSION DE CAENA","1","LUBRICACION Y TENSION DE CAENA (1)"
"CORRECCION RIN DELANTERO","1","CORRECCION RIN DELANTERO (1)"
"REMPLAZAR BOMBILLO LED","1","REMPLAZAR BOMBILLO LED (1)"
"5 RADIOS","1","5 RADIOS (1)"
"PASTILLAS INSTALADAS","1","PASTILLAS INSTALADAS (1)"
"PASTILLAS PARA LLEVAR","1","PASTILLAS PARA LLEVAR (1)"
"PERA TEMPERATURA","1","PERA TEMPERATURA (1)"
"PASTILLAS TRASERAS ST","1","PASTILLAS TRASERAS ST (1)"
"REVISION DE CARDAN","1","REVISION DE CARDAN (1)"
"MANO DE OBRA CARDAN","1","MANO DE OBRA CARDAN (1)"
"FILTRO DE AIRE INSTALADO","1","FILTRO DE AIRE INSTALADO (1)"
"CAMBIO Y CADENA","1","CAMBIO Y CADENA (1)"
"RELAY DE ENCENDIDO","1","RELAY DE ENCENDIDO (1)"
"ACEITE DE BARRAS","1","ACEITE DE BARRAS (1)"
"FILTRO DE AIRE LLEVAR","1","FILTRO DE AIRE LLEVAR (1)"
"CONTRABALANCEADOR","1","CONTRABALANCEADOR (1)"
"LUBRICANTE","1","LUBRICANTE (1)"
"GUAYA DE VELOCIMETRO","1","GUAYA DE VELOCIMETRO (1)"
"CAMBIO DE AMANUBRIO","1","CAMBIO DE AMANUBRIO (1)"
"INSTALACION DISCOS DE CLUTCH","1","INSTALACION DISCOS DE CLUTCH (1)"
"SINCRONIZACION Y DIAFRAGMA","1","SINCRONIZACION Y DIAFRAGMA (1)"
"ISCOS DE CLUTCH","1","ISCOS DE CLUTCH (1)"
"INSTALACION EJE DE CAMBIOS","1","INSTALACION EJE DE CAMBIOS (1)"
"RETEN Y MATO DE CLUTCH","1","RETEN Y MATO DE CLUTCH (1)"
"PILA DE LLAVE","1","PILA DE LLAVE (1)"
"ENDERZADA DE BARRA","1","ENDERZADA DE BARRA (1)"
"DESPINCHADA Y PARCHE LLANTA TRASERA","1","DESPINCHADA Y PARCHE LLANTA TRASERA (1)"
"PINTURA TAPA IZQUIERDA","1","PINTURA TAPA IZQUIERDA (1)"
"TENSION Y LUBRICACIO DE CADENA","1","TENSION Y LUBRICACIO DE CADENA (1)"
"ARREGLO Y PINTURA DEFENSAS","1","ARREGLO Y PINTURA DEFENSAS (1)"
"AJUSTE DE MANDOS","1","AJUSTE DE MANDOS (1)"
"RETEN Y MANO DE OBRA","1","RETEN Y MANO DE OBRA (1)"
"PALANCA DE FRENO","1","PALANCA DE FRENO (1)"
"BASE MOTOR","1","BASE MOTOR (1)"
"CINCADO DE PIEZAS Y RADIOS","1","CINCADO DE PIEZAS Y RADIOS (1)"
"PINTURA DE RINES EN ELECTROSTATTICA","1","PINTURA DE RINES EN ELECTROSTATTICA (1)"
"IVA","1","IVA (1)"
"INSTALACION DE MANILARES","1","INSTALACION DE MANILARES (1)"
"SINCRONICACION Y MANTENIMIENTO GENERAL","1","SINCRONICACION Y MANTENIMIENTO GENERAL (1)"
"EJE DE SALIDA","1","EJE DE SALIDA (1)"
"SOLDADURA POSAPIES","1","SOLDADURA POSAPIES (1)"
"RUIDO AL PRENDER","1","RUIDO AL PRENDER (1)"
"SE ACELERA","1","SE ACELERA (1)"
"TACO","1","TACO (1)"
"PINTURA TAPITAS SILLIN","1","PINTURA TAPITAS SILLIN (1)"
"CAMBIAR BARRAS","1","CAMBIAR BARRAS (1)"
"SENSOR DE ABS DELANTERO","1","SENSOR DE ABS DELANTERO (1)"
"HELICOIL TAPON DE ACEITE","1","HELICOIL TAPON DE ACEITE (1)"
"KIT DE RETENES BOMBA DE AGUA","1","KIT DE RETENES BOMBA DE AGUA (1)"
"RELAY LUCES","1","RELAY LUCES (1)"
"ARREGLO TAPA DE EXOSTO","1","ARREGLO TAPA DE EXOSTO (1)"
"MOTO HERMANO","1","MOTO HERMANO (1)"
"CAMBIO DIRECCIONAL","1","CAMBIO DIRECCIONAL (1)"
"CAMBIO LUZ DE PLACA","1","CAMBIO LUZ DE PLACA (1)"
"INSTALACION CAR PLAY","1","INSTALACION CAR PLAY (1)"
"EXPLORADORES","1","EXPLORADORES (1)"
"ARREGLO DE MALETERO","1","ARREGLO DE MALETERO (1)"
"SELLO MECANICO","1","SELLO MECANICO (1)"
"CAMBIO DE TORNILLOS DE CARDAN","1","CAMBIO DE TORNILLOS DE CARDAN (1)"
"BALANCEO DE RIN Y RADIO","1","BALANCEO DE RIN Y RADIO (1)"
"VARILLITAS","1","VARILLITAS (1)"
"GASIOLINA","1","GASIOLINA (1)"
"RESERVORIO","1","RESERVORIO (1)"
"VARILLITA","1","VARILLITA (1)"
"CULATA","1","CULATA (1)"
"CAMBIAR ROTACION LLANTA DELANTERA","1","CAMBIAR ROTACION LLANTA DELANTERA (1)"
"AGJUSTE POSAPIES","1","AGJUSTE POSAPIES (1)"
"CALIBRAR LLANTAS","1","CALIBRAR LLANTAS (1)"
"RECTIFICACION CULATA","1","RECTIFICACION CULATA (1)"
"PINTURA CARENAJE Y GUARDABARRO","1","PINTURA CARENAJE Y GUARDABARRO (1)"
"MANO DE OBRA DESENSAMBLE","1","MANO DE OBRA DESENSAMBLE (1)"
"CAMBIO GUARDABARRO TRASERO","1","CAMBIO GUARDABARRO TRASERO (1)"
"MANTENIMINETO BARRA TELESCOPICA","1","MANTENIMINETO BARRA TELESCOPICA (1)"
"ARREGLO CABLES CORONA Y REGULADOR","1","ARREGLO CABLES CORONA Y REGULADOR (1)"
"ARREGLO BOMBA DE FRENO","1","ARREGLO BOMBA DE FRENO (1)"
"TAPITAS SILLIN","1","TAPITAS SILLIN (1)"
"COPIA LLAVE","1","COPIA LLAVE (1)"
"2 RADIOS TRASEROS ST","1","2 RADIOS TRASEROS ST (1)"
"MOTUL","1","MOTUL (1)"
"BOMNILLO ST","1","BOMNILLO ST (1)"
"PULIDA DISCOTRASERO","1","PULIDA DISCOTRASERO (1)"
"DESPINCHAR RUEDA TRASERA ST","1","DESPINCHAR RUEDA TRASERA ST (1)"
"REVISION DISCOS DE CLUTCH","1","REVISION DISCOS DE CLUTCH (1)"
"CORRECCION FUGA DE ACITE","1","CORRECCION FUGA DE ACITE (1)"
"RESERVORIO LIQUIDO DE FRENOS","1","RESERVORIO LIQUIDO DE FRENOS (1)"
"SOLDADURA CABEZA DE AMORTIGUADOR","1","SOLDADURA CABEZA DE AMORTIGUADOR (1)"
"CAMBIO PASTILLAS","1","CAMBIO PASTILLAS (1)"
"CAMBIO RETENES DE BARRAS","1","CAMBIO RETENES DE BARRAS (1)"
"CEITE","1","CEITE (1)"
"REVISION SUSPENSION ELECTRONICA","1","REVISION SUSPENSION ELECTRONICA (1)"
"AREGLO FAROLA","1","AREGLO FAROLA (1)"
"SOLDADURA GUARDABARRO STOP","1","SOLDADURA GUARDABARRO STOP (1)"
"DISCO DELANTERO","1","DISCO DELANTERO (1)"
"CORTAR Y TENSIONAR CADENA","1","CORTAR Y TENSIONAR CADENA (1)"
"SLIDERS","1","SLIDERS (1)"
"DOMICILIOS","1","DOMICILIOS (1)"
"SLIME","1","SLIME (1)"
"SOLDAR DEFENSA","1","SOLDAR DEFENSA (1)"
"REVISAR FUGA DE ACEITE CUANDO DE CALIENTA","1","REVISAR FUGA DE ACEITE CUANDO DE CALIENTA (1)"
"HERRAMIENTA","1","HERRAMIENTA (1)"
"SALDO CAJON","1","SALDO CAJON (1)"
"HELICOIL Y TORNILLO MORDAZA","1","HELICOIL Y TORNILLO MORDAZA (1)"
"MANTENIMIENTO Y RETEN DE CLUTH","1","MANTENIMIENTO Y RETEN DE CLUTH (1)"
"LINEA DE FRENO","1","LINEA DE FRENO (1)"
"TAPA BATERIA","1","TAPA BATERIA (1)"
"CONEXION CARPLAY SWITCH","1","CONEXIÓN CARPLAY SWITCH (1)"
"SOPORTE DE EXPLORADORA","1","SOPORTE DE EXPLORADORA (1)"
"12 RADIOS","1","12 RADIOS (1)"
"INSTALACION CAJA DE BATERIA","1","INSTALACION CAJA DE BATERIA (1)"
"KIT DE BUJES Y CANASTILLAS","1","KIT DE BUJES Y CANASTILLAS (1)"
"FILTRO E ACEITE","1","FILTRO E ACEITE (1)"
"BOMBA DE ACEITE","1","BOMBA DE ACEITE (1)"
"REVISION RUIDO MOTOR","1","REVISION RUIDO MOTOR (1)"
"SEGURO SILLA","1","SEGURO SILLA (1)"
"RETOQUES DE PINTURA","1","RETOQUES DE PINTURA (1)"
"EMPAQUE EXOSTO","1","EMPAQUE EXOSTO (1)"
"ADONIZADO","1","ADONIZADO (1)"
"CHUPAS DE CLUTCH","1","CHUPAS DE CLUTCH (1)"
"MANGUERAS DE GASOLINA","1","MANGUERAS DE GASOLINA (1)"
"CAMBIO DE TAPAS","1","CAMBIO DE TAPAS (1)"
"TAPA CAJA DE HERRAMIENTAS","1","TAPA CAJA DE HERRAMIENTAS (1)"
"REVISAR CAJA","1","REVISAR CAJA (1)"
"PASTILLAS DELANTRAS","1","PASTILLAS DELANTRAS (1)"
"PORTECTORES DE BARRAS","1","PORTECTORES DE BARRAS (1)"
"MANO DE OBRA AMORTIGUADOR","1","MANO DE OBRA AMORTIGUADOR (1)"
"SOPORTE INTERRUPTOR","1","SOPORTE INTERRUPTOR (1)"
"CAMBIO DE PASTILLAS DELANTERAS","1","CAMBIO DE PASTILLAS DELANTERAS (1)"
"ARREGLO MOTOVENTILADOR","1","ARREGLO MOTOVENTILADOR (1)"
"DSEPARADORES DE CLUTCH","1","DSEPARADORES DE CLUTCH (1)"
"FILTRO DE AACEITE","1","FILTRO DE AACEITE (1)"
"1 BAYONETA","1","1 BAYONETA (1)"
"CORRECCION FUGAS","1","CORRECCION FUGAS (1)"
"PERA DE FRENO DELANTERO","1","PERA DE FRENO DELANTERO (1)"
"MANTENIMIENTO CALIPER TRASERO","1","MANTENIMIENTO CALIPER TRASERO (1)"
"FUGA BARRA","1","FUGA BARRA (1)"
"MANTENIMIENTO MANDO IZQ","1","MTO MANDO IZQ (1)"
"CAMBIO NEUMATICO","1","CAMBIO NEUMATICO (1)"
"CAMBIO EMPAQUE TAPA VALVULAS","1","CAMBIO EMPAQUE TAPA VALVULAS (1)"
"MANTENIMIENTO VARIADOR","1","MANTENIMIENTO VARIADOR (1)"
"RODAMIENTO DELANTERO","1","RODAMIENTO DELANTERO (1)"
"PINTURA ELECTROSTA","1","PINTURA ELECTROSTA (1)"
"MNTENIMIENTO PREVENTIVO","1","MNTENIMIENTO PREVENTIVO (1)"
"CAMBIO DE FILTRO DE ACEITE FULL","1","CAMBIO DE FILTRO DE ACEITE FULL (1)"
"CAMBIO DE GUAYA","1","CAMBIO DE GUAYA (1)"
"DEPURACION LIQUIDO ABS","1","DEPURACION LIQUIDO ABS (1)"
"ARREGLO MANGUERAS","1","ARREGLO MANGUERAS (1)"
"MANTENIMIENTO FRENO TRASERO","1","MANTENIMIENTO FRENO TRASERO (1)"
"CAMBIO DE ROLE","1","CAMBIO DE ROLE (1)"
"ARREGLO DE CABLES","1","ARREGLO DE CABLES (1)"
"CINCADO DE RADIOSS","1","CINCADO DE RADIOSS (1)"
"MANGUERA NUEVA","1","MANGUERA NUEVA (1)"
"TAPA REFRIGERANTE","1","TAPA REFRIGERANTE (1)"
"CABLEADO EXPLORADORAS","1","CABLEADO EXPLORADORAS (1)"
"CAMBIO PINON","1","CAMBIO PIÑON (1)"
"MANTENIMIENTO BOMBA DE FRENO","1","MANTENIMIENTO BOMBA DE FRENO (1)"
"DESLIZADOR DE CADENA Y MANTENIMIENTO","1","DESLIZADOR DE CADENA Y MANTENIMIENTO (1)"
"MATENIMIENTO PREVENTIVO","1","MATENIMIENTO PREVENTIVO (1)"
"PASTILLAS EBC","1","PASTILLAS EBC (1)"
"KIR DE PISTON","1","KIR DE PISTON (1)"
"RETIRAR SOPORTE DE CELULAR","1","RETIRAR SOPORTE DE CELULAR (1)"
"EMPQUE CILINDRO","1","EMPQUE CILINDRO (1)"
"RETIRAR PORTAMALETAS","1","RETIRAR PORTAMALETAS (1)"
"SOLDADURA TANQUE","1","SOLDADURA TANQUE (1)"
"FILTRO DE ACEIRE","1","FILTRO DE ACEIRE (1)"
"CARCAZA CARDAN","1","CARCAZA CARDAN (1)"
"ARREGLO MANIGUETA DE FRENO","1","ARREGLO MANIGUETA DE FRENO (1)"
"BRUNIDO DE CILINDRO","1","BRUÑIDO DE CILINDRO (1)"
"ARREGLO TAPA DE GASOLINA","1","ARREGLO TAPA DE GASOLINA (1)"
"MANTENIMIENTO DE MANIGUETAS Y BUJE DE CLUTCH","1","MANTENIMIENTO DE MANIGUETAS Y BUJE DE CLUTCH (1)"
"SOLDADURA DE GATO","1","SOLDADURA DE GATO (1)"
"ALINEACION Y BALANCEO","1","ALINEACION Y BALANCEO (1)"
"ENDEREZADA DE DISCO","1","ENDEREZADA DE DISCO (1)"
"CABLE DE CLUTCH","1","CABLE DE CLUTCH (1)"
"ARREGLO BARRAS","1","ARREGLO BARRAS (1)"
"TENSOR","1","TENSOR (1)"
"MANO DE OBRA CADENILLA Y DISCOS","1","MANO DE OBRA CADENILLA Y DISCOS (1)"
"KIT DE EMPAQUETADURA MEDIA","1","KIT DE EMPAQUETADURA MEDIA (1)"
"CAMBIO DE ACEITE HIDRAULICO","1","CAMBIO DE ACEITE HIDRAULICO (1)"
"MANTENIMIENTO DE SUSPENSION","1","MANTENIMIENTO DE SUSPENSION (1)"
"ONE WAY","1","ONE WAY (1)"
"ARREGLO DIRECCIONAL IZQUIERDA TRASEA","1","ARREGLO DIRECCIONAL IZQUIERDA TRASEA (1)"
"REVISAR DIRECCION","1","REVISAR DIRECCION (1)"
"PINTURA TAPAS DE FAROLA","1","PINTURA TAPAS DE FAROLA (1)"
"CAMBIO CAMPANA","1","CAMBIO CAMPANA (1)"
"CAMBIO TENSOR DE CADENA","1","CAMBIO TENSOR DE CADENA (1)"
"ARREGLO DE CHASIS","1","ARREGLO DE CHASIS (1)"
"BOBINA DE SEGUNDA","1","BOBINA DE SEGUNDA (1)"
"AJUSTE MANDO","1","AJUSTE MANDO (1)"
"AMANO DE OBRA","1","AMANO DE OBRA (1)"
"CORTO FAROLA","1","CORTO FAROLA (1)"
"BASE EXPLORADORA","1","BASE EXPLORADORA (1)"
"INSTALACION DE BUJIAS","1","INSTALACION DE BUJIAS (1)"
"REVISION ENCENDIDO","1","REVISION ENCENDIDO (1)"
"ORRINGS","1","ORRINGS (1)"
"MANTENIMIENTO CLUTCH","1","MANTENIMIENTO CLUTCH (1)"
"RETIRAR MONEDAS","1","RETIRAR MONEDAS (1)"
"CVALVULAS","1","CVALVULAS (1)"
"CUNAS DE VALVULAS","1","CUÑAS DE VALVULAS (1)"
"GUIAS DE VALVULAS","1","GUIAS DE VALVULAS (1)"
"ARREGLO ENCENDIDO","1","ARREGLO ENCENDIDO (1)"
"CAMBIO RETEN DE AGUA","1","CAMBIO RETEN DE AGUA (1)"
"PARCHE DE LLANTA","1","PARCHE DE LLANTA (1)"
"MANTENIMIENTO DE FILTRO","1","MANTENIMIENTO DE FILTRO (1)"
"2 RETENES DE BARRAS","1","2 RETENES DE BARRAS (1)"
"REVISAR RUIDO MOTOR DE ARRANQUE","1","REVISAR RUIDO MOTOR DE ARRANQUE (1)"
"ARREGLO 2 BOBINA","1","ARREGLO 2 BOBINA (1)"
"ARREGLO PORTAMALETAS","1","ARREGLO PORTAMALETAS (1)"
"ENDEREZADA DE DEFENSAS","1","ENDEREZADA DE DEFENSAS (1)"
"PASTILLAS TRASERA","1","PASTILLAS TRASERA (1)"
"DIADEMA","1","DIADEMA (1)"
"INTERRUPTOR SOBRE CLTCH","1","INTERRUPTOR SOBRE CLTCH (1)"
"INSTALACION STAY FRONTAL","1","INSTALACION STAY FRONTAL (1)"
"BOMBA","1","BOMBA (1)"
"MANTENIMEINTO GENERAL","1","MANTENIMEINTO GENERAL (1)"
"CONECTAR CARPLAY","1","CONECTAR CARPLAY (1)"
"SRREGLO MEDIDOR DE GASOLINA","1","SRREGLO MEDIDOR DE GASOLINA (1)"
"REPUESTOS CARBURADOR","1","REPUESTOS CARBURADOR (1)"
"MANO DE OBRA BARRAS Y RODAMIENTO DEL","1","MANO DE OBRA BARRAS Y RODAMIENTO DEL (1)"
"MANO D OBRA GENERAL","1","MANO D OBRA GENERAL (1)"
"LIMPIAR FAROLA","1","LIMPIAR FAROLA (1)"
"ARREGLO FRENTE","1","ARREGLO FRENTE (1)"
"MANO DE OBRA MEDIDOR","1","MANO DE OBRA MEDIDOR (1)"
"SOLDADURA FAROLA","1","SOLDADURA FAROLA (1)"
"INSTALACION CARGADOR","1","INSTALACION CARGADOR (1)"
"REMACHE DE DISCOS","1","REMACHE DE DISCOS (1)"
"FILTRO DE ACEITW","1","FILTRO DE ACEITW (1)"
"ARREGLO POSAPIE","1","ARREGLO POSAPIE (1)"
"RETOQUES PARALES","1","RETOQUES PARALES (1)"
"ESPQJO IZQUIERDO","1","ESPQJO IZQUIERDO (1)"
"MANGUERAS DE RADIADOR","1","MANGUERAS DE RADIADOR (1)"
"RETOQUES DE RINES","1","RETOQUES DE RINES (1)"
"ARREGLO MANGUERA DE RADIADOR","1","ARREGLO MANGUERA DE RADIADOR (1)"
"EXTRACCION TORNILLOS","1","EXTRACCION TORNILLOS (1)"
"TENSION DE CLUTCH","1","TENSION DE CLUTCH (1)"
"CAMBIO LIQUIDO DE FRENS","1","CAMBIO LIQUIDO DE FRENS (1)"
"BALANCEO DE RINES","1","BALANCEO DE RINES (1)"
"ACEITE ENI 10W40","1","ACEITE ENI 10W40 (1)"
"CORRECCION ESPARRAGO DE EXOSTO","1","CORRECCION ESPARRAGO DE EXOSTO (1)"
"MANTENIMIENTO GENERL","1","MANTENIMIENTO GENERL (1)"
"ARREGLO CORTO","1","ARREGLO CORTO (1)"
"3 BUJIAS","1","3 BUJIAS (1)"
"PINONES DE ARRSTRE","1","PIÑONES DE ARRSTRE (1)"
"ARREGLO JOSTICK","1","ARREGLO JOSTICK (1)"
"ARREGLO SOPORTE Y PORTAPLACA","1","ARREGLO SOPORTE Y PORTAPLACA (1)"
"MANTENIMINETO DE CARDAN","1","MANTENIMINETO  DE CARDAN (1)"
"2 BOMBILLOS FRONTALES","1","2 BOMBILLOS FRONTALES (1)"
"SOLDADURA TAPA CARTER","1","SOLDADURA TAPA CARTER (1)"
"SOLDADURA Y ARREGLO PLASTICO FRONTAL","1","SOLDADURA Y ARREGLO PLASTICO FRONTAL (1)"
"PORTA DISCOS","1","PORTA DISCOS (1)"
"ARREGLO BENDIX","1","ARREGLO BENDIX (1)"
"MANO DE OBRA CARBURADOR","1","MANO DE OBRA CARBURADOR (1)"
"CDI","1","CDI (1)"
"PLATO PRESION CLUTCH","1","PLATO PRESION CLUTCH (1)"
"ARREGLO SENSOR RUEDA","1","ARREGLO SENSOR RUEDA (1)"
"ARREGLO DE CABLEADO","1","ARREGLO DE CABLEADO (1)"
"PASTILLAS X3","1","PASTILLAS X3 (1)"
"ENRADIADA Y DESENRADIADA","1","ENRADIADA Y DESENRADIADA (1)"
"ARREGLO PERA","1","ARREGLO PERA (1)"
"RECTIFICADA RIN DELANTERO","1","RECTIFICADA RIN DELANTERO (1)"
"PINTURA GUARDABARRO DELANTERA","1","PINTURA GUARDABARRO DELANTERA (1)"
"TAPAPINON","1","TAPAPIÑON (1)"
"ARANDELAS","1","ARANDELAS (1)"
"FILTRO GASOLINA","1","FILTRO GASOLINA (1)"
"POLICHADO DE VISOR","1","POLICHADO DE VISOR (1)"
"CAMBIAR TORNILLO DE MANUBRIO","1","CAMBIAR TORNILLO DE MANUBRIO (1)"
"VALVULA LLANTA TRASERA","1","VALVULA LLANTA TRASERA (1)"
"ARREGLO DISCO","1","ARREGLO DISCO (1)"
"PINURA COLA","1","PINURA COLA (1)"
"MANIGUETA DERECHA","1","MANIGUETA DERECHA (1)"
"SLIDER","1","SLIDER (1)"
"SWITCH DE EXPLORADORAS","1","SWITCH DE EXPLORADORAS (1)"
"RETIRAR CAR PLAY","1","RETIRAR CAR PLAY (1)"
"RODAMIENTOS TRSEROS Y DELANTERO","1","RODAMIENTOS TRSEROS Y DELANTERO (1)"
"CARBURADOR","1","CARBURADOR (1)"
"LAVADO DE FAROLA","1","LAVADO DE FAROLA (1)"
"AJUSTE TAPAS","1","AJUSTE TAPAS (1)"
"MANO DE OBRA Y EXTRACCION DE TORNILLOS","1","MANO DE OBRA Y EXTRACCION DE TORNILLOS (1)"
"PINTURA ZE","1","PINTURA ZE (1)"
"FILTRO DE AIRE DESCONTAR","1","FILTRO DE AIRE DESCONTAR (1)"
"ARREGLO PERA TRASERA","1","ARREGLO PERA TRASERA (1)"
"SOLDADURA DE CARTER","1","SOLDADURA DE CARTER (1)"
"BARRA TELESCOPICA","1","BARRA TELESCOPICA (1)"
"TORNILLOS Y BUJES MALETERO","1","TORNILLOS Y BUJES MALETERO (1)"
"CINCADO DE TORNILLERIA","1","CINCADO DE TORNILLERIA (1)"
"DIRECCIONAL DELANTERA","1","DIRECCIONAL DELANTERA (1)"
"LIMPIEZA FILTRO KYN","1","LIMPIEZA FILTRO KYN (1)"
"ARREGLO DE DISCO","1","ARREGLO DE DISCO (1)"
"HELICOIL MORDAZA","1","HELICOIL MORDAZA (1)"
"TAPA EMBLEMA","1","TAPA EMBLEMA (1)"
"EXEDENTE RETENES","1","EXEDENTE RETENES (1)"
"TORNILLOS DIRECCION","1","TORNILLOS DIRECCION (1)"
"RETENES CONTRABALANCEADOR Y CIGUENAL","1","RETENES CONTRABALANCEADOR Y CIGÜEÑAL (1)"
"REVISION TABLERO","1","REVISION TABLERO (1)"
"PINTURA TAPAS DE TANQYE","1","PINTURA TAPAS DE TANQYE (1)"
"INSTALACION DE RADIADOR","1","INSTALACION DE RADIADOR (1)"
"RODAMIENTO TRASEROS","1","RODAMIENTO TRASEROS (1)"
"ARREGLO KILLA","1","ARREGLO KILLA (1)"
"TACO LLANTA TRASERA","1","TACO LLANTA TRASERA (1)"
"CAMBIO DE ACEITE BARRAS","1","CAMBIO DE ACEITE BARRAS (1)"
"MANTENIMIENTO DE CLUCTH","1","MANTENIMIENTO DE CLUCTH (1)"
"RODAMIENTO DE DIRECCION","1","RODAMIENTO DE DIRECCION (1)"
"MANO DE OBRA CAMBIO","1","MANO DE OBRA CAMBIO (1)"
